,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,25-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s2,TV Show,Blood & Water,,Ama Qamata,,,,,,,, Odwa Gwanya,,,,,, 2021|2021|TV-MA|2 Seasons|International TV Shows, TV Dramas, TV Mysteries|After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,s4,TV Show,Jailbirds New Orleans,,,,24-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,s5,TV Show,Kota Factory,,Mayur More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,,,,,,,, Michael Trucco,,,,,, ominous mysteries and renewed religious fervor to a dying town desperate to believe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,s7,Movie,My Little Pony: A New Generation,Robert Cullen,,,,,,,,, hoof to heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,s8,Movie,Sankofa,Haile Gerima,Kofi Ghanaba,,,,,,,,2021,1993,TV-MA,125 min,Dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,s9,TV Show,The Great British Baking Show,Andy Devonshire,Mel Giedroyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,s10,Movie,The Starling,Theodore Melfi,Melissa McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,s11,TV Show,Vendetta: Truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Sukollawat Kanarot,,,,,,,, Jaytiya Naiwattanakul,,,,,, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul||September 23, 2021|2021|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Action & Adventure|Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.,,,,,,,,,,,,,,,,,,,,,,,,,
12,s13,Movie,Je Suis Karl,Christian Schwochow,Luna Wedler,,,,,,,, International Movies,After most of her family is murdered in a terrorist bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Klara Castanho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,s15,TV Show,Crime Stories: India Detectives,,,,22-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
